,DoE_file,start_index,stop_index
20220429,Dataset_experimental/compositions_2comps.csv,0,10
20220504,Dataset_experimental/compositions_1comps.csv,0,10
20220506,Dataset_experimental/compositions_3comps.csv,0,10
20220507,Dataset_experimental/compositions_4comps.csv,0,10
20220512,Dataset_experimental/compositions_4comps.csv,10,20
20220513,Dataset_experimental/compositions_2comps.csv,10,20
20220514,Dataset_experimental/compositions_3comps.csv,10,20
20220823,Dataset_experimental/compositions_3comps.csv,20,30
20220824,Dataset_experimental/compositions_4comps.csv,20,30
20220825,Dataset_experimental/compositions_3comps.csv,30,40
20220826,Dataset_experimental/compositions_4comps.csv,30,40
